ax,ay,az,gx,gy,gz
0.974,-0.125,-0.213,103.885,201.939,-138.214
1.066,-0.069,-0.232,117.038,240.824,-127.962
1.066,0.021,-0.210,136.603,250.130,-113.031
1.045,0.062,-0.177,151.786,250.130,-90.282
1.057,0.007,-0.072,162.214,250.130,-66.374
1.001,0.059,0.074,164.305,250.130,-37.252
0.926,0.052,0.247,155.947,250.130,-4.344
0.837,-0.078,0.535,135.519,250.130,26.206
0.787,0.056,0.791,105.061,250.130,33.580
0.634,0.047,1.032,64.122,250.130,25.779
0.702,-0.018,1.006,38.038,250.130,-2.176
0.576,-0.071,1.102,14.840,250.130,-29.527
0.582,-0.067,1.156,-4.099,250.130,-49.611
0.649,-0.031,1.191,-17.565,250.130,-62.237
0.675,0.024,1.170,-19.863,250.130,-66.702
0.655,0.052,1.163,-16.168,250.130,-63.282
0.707,0.097,1.154,-6.855,250.130,-58.786
0.677,0.018,1.208,2.473,250.130,-53.908
0.646,-0.005,1.266,7.733,250.130,-48.702
0.637,-0.000,1.292,14.000,250.130,-41.695
0.507,0.011,1.288,12.756,250.130,-35.885
0.343,0.052,1.316,3.832,250.130,-27.069
0.243,0.026,1.323,-10.412,250.130,-18.771
0.195,-0.025,1.341,-22.664,250.130,-11.992
0.045,-0.004,1.337,-30.221,250.130,-16.496
-0.077,0.055,1.398,-49.679,250.130,-25.786
-0.061,-0.020,1.438,-67.191,250.130,-35.847
-0.098,-0.113,1.377,-73.641,250.130,-36.534
-0.277,-0.109,1.406,-89.779,250.130,-29.863
-0.449,-0.088,1.389,-112.878,250.130,-34.344
-0.603,-0.149,1.321,-132.336,250.130,-43.061
-0.656,-0.089,1.229,-147.137,250.130,-49.832
-0.599,-0.084,1.096,-152.206,250.130,-56.939
-0.552,-0.158,1.005,-145.038,250.130,-59.046
-0.546,-0.246,0.960,-136.252,250.130,-53.137
-0.623,-0.285,0.897,-133.244,250.130,-42.802
-0.642,-0.284,0.851,-135.450,250.130,-29.832
-0.702,-0.373,0.826,-138.489,250.130,-21.122
-0.754,-0.345,0.710,-140.145,250.130,-19.290
-0.780,-0.358,0.666,-140.389,250.130,-24.282
-0.773,-0.358,0.605,-139.084,250.130,-30.710
-0.769,-0.333,0.501,-139.481,250.130,-36.618
-0.832,-0.362,0.497,-132.565,250.130,-39.412
-0.809,-0.324,0.365,-124.046,250.130,-38.084
-0.857,-0.380,0.308,-115.969,250.130,-37.443
-0.833,-0.358,0.235,-108.649,250.130,-38.168
-0.783,-0.314,0.195,-103.985,250.130,-45.557
-0.770,-0.317,0.180,-103.145,250.130,-49.878
-0.729,-0.327,0.129,-103.550,248.550,-53.924
-0.676,-0.367,0.056,-102.840,226.473,-56.710
-0.668,-0.362,0.044,-100.099,213.160,-56.252
-0.616,-0.296,0.002,-92.221,187.298,-54.489
-0.570,-0.254,-0.065,-81.847,148.985,-44.427
-0.515,-0.258,-0.080,-67.382,109.916,-23.153
-0.588,-0.363,-0.067,-53.290,70.092,2.061
-0.711,-0.407,-0.065,-45.718,26.565,22.710
-0.791,-0.367,-0.065,-43.641,-15.756,39.771
-0.844,-0.310,-0.067,-41.779,-46.817,59.198
-0.879,-0.304,-0.023,-35.634,-80.374,80.069
-0.923,-0.279,0.051,-28.244,-132.191,95.595
-0.973,-0.212,0.094,-12.290,-173.534,84.618
-1.012,-0.210,0.132,8.458,-210.718,60.763
-1.026,-0.265,0.341,32.084,-250.137,36.969
-1.002,-0.328,0.392,52.252,-250.137,20.298
-0.951,-0.288,0.455,63.206,-250.137,17.023
-0.926,-0.196,0.524,67.748,-250.137,22.015
-0.797,-0.219,0.452,84.191,-250.137,43.580
-0.709,-0.431,0.355,125.130,-250.137,72.656
-0.637,-0.198,0.798,108.908,-164.023,100.282
-0.808,-0.051,0.836,82.824,-82.473,127.702
-0.816,-0.134,0.824,56.313,-73.229,143.763
-0.741,-0.207,0.770,47.397,-87.130,151.840
-0.741,-0.163,0.697,49.176,-124.046,162.969
-0.814,-0.073,0.508,54.023,-149.855,158.992
-0.865,-0.015,0.601,66.130,-166.863,143.481
-0.907,-0.026,0.613,73.252,-193.435,134.000
-0.879,-0.024,0.606,81.160,-221.527,125.511
-0.856,0.047,0.578,94.405,-208.099,110.252
-0.872,0.065,0.627,105.099,-180.779,93.588
-0.845,0.079,0.710,110.344,-183.160,87.489
-0.760,0.024,0.799,118.550,-188.015,85.107
-0.739,0.013,0.972,119.359,-199.008,72.878
-0.713,0.052,1.140,102.695,-249.092,54.344
-0.590,0.005,1.229,82.573,-250.137,37.870
-0.383,-0.012,1.230,64.031,-250.137,22.534
-0.195,0.056,1.237,46.260,-250.137,19.069
-0.080,0.130,1.183,35.412,-250.137,38.573
-0.095,0.149,1.139,34.305,-250.137,67.649
-0.170,0.152,1.223,45.443,-250.137,97.916
-0.129,0.220,1.325,57.023,-250.137,112.405
-0.181,0.283,1.453,53.252,-250.137,109.832
-0.280,0.252,1.547,33.901,-250.137,95.931
-0.277,0.189,1.552,14.214,-250.137,76.710
-0.199,0.200,1.475,-0.611,-250.137,54.344
0.055,0.211,1.331,-5.695,-250.137,28.885
0.302,0.269,1.277,-10.389,-250.137,3.931
0.461,0.208,1.134,-5.733,-250.137,-4.992
0.620,0.141,1.098,4.740,-250.137,1.015
0.188,0.152,1.549,21.519,-250.137,19.344
0.818,0.023,0.812,51.725,-250.137,42.878
0.876,0.218,0.994,76.672,-250.137,60.710
0.915,0.256,0.909,90.344,-250.137,72.374
0.889,0.213,0.901,86.183,-250.137,78.527
0.918,0.165,0.805,81.015,-250.137,78.412
